period,revenue,net_profit,interest_payable,ebitda,inn,name
2022,292459.0,11814.0,175.0,11989.0,7814485325,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЛОТ2"""
2021,317676.0,23735.0,556.0,24291.0,7814485325,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЛОТ2"""
2025,91920.0,48256.0,1706.0,49962.0,6102062670,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ СПЕЦИАЛИЗИРОВАННЫЙ ЗАСТРОЙЩИК ""АВА"""
2024,0.0,-8181.0,6996.0,-1185.0,6102062670,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ СПЕЦИАЛИЗИРОВАННЫЙ ЗАСТРОЙЩИК ""АВА"""
2023,32773.0,-12995.0,12939.0,-56.0,6102062670,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ СПЕЦИАЛИЗИРОВАННЫЙ ЗАСТРОЙЩИК ""АВА"""
2022,6121.0,72687.0,1181.0,73868.0,6102062670,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ СПЕЦИАЛИЗИРОВАННЫЙ ЗАСТРОЙЩИК ""АВА"""
2021,12049.0,69561.0,390.0,69951.0,6102062670,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ СПЕЦИАЛИЗИРОВАННЫЙ ЗАСТРОЙЩИК ""АВА"""
2025,2699.0,-1769.0,,-1769.0,2108002261,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""МЕЖХОЗЯЙСТВЕННАЯ СТРОИТЕЛЬНАЯ ОРГАНИЗАЦИЯ ""КОМСОМОЛЬСКАЯ"""
2024,3851.0,-156.0,,-156.0,2108002261,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""МЕЖХОЗЯЙСТВЕННАЯ СТРОИТЕЛЬНАЯ ОРГАНИЗАЦИЯ ""КОМСОМОЛЬСКАЯ"""
2023,24395.0,-3702.0,,-3702.0,2108002261,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""МЕЖХОЗЯЙСТВЕННАЯ СТРОИТЕЛЬНАЯ ОРГАНИЗАЦИЯ ""КОМСОМОЛЬСКАЯ"""
2022,,-5.0,,-5.0,2108002261,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""МЕЖХОЗЯЙСТВЕННАЯ СТРОИТЕЛЬНАЯ ОРГАНИЗАЦИЯ ""КОМСОМОЛЬСКАЯ"""
2021,0.0,18.0,,18.0,2108002261,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""МЕЖХОЗЯЙСТВЕННАЯ СТРОИТЕЛЬНАЯ ОРГАНИЗАЦИЯ ""КОМСОМОЛЬСКАЯ"""
2025,134713.0,7391.0,,7391.0,7728434768,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ПРОМЫШЛЕННО-СТРОИТЕЛЬНАЯ КОМПАНИЯ ""МОНОЛИТ"""
2024,61421.0,54.0,,54.0,7728434768,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ПРОМЫШЛЕННО-СТРОИТЕЛЬНАЯ КОМПАНИЯ ""МОНОЛИТ"""
2022,144185.0,25564.0,,25564.0,7728434768,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ПРОМЫШЛЕННО-СТРОИТЕЛЬНАЯ КОМПАНИЯ ""МОНОЛИТ"""
2021,203673.0,59520.0,,59520.0,7728434768,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ПРОМЫШЛЕННО-СТРОИТЕЛЬНАЯ КОМПАНИЯ ""МОНОЛИТ"""
2025,,-30541.0,0.0,-30541.0,0266027709,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""НОВАЯ УРАЛЬСКАЯ КОМПАНИЯ"""
2024,0.0,-13684.0,469.0,-13215.0,0266027709,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""НОВАЯ УРАЛЬСКАЯ КОМПАНИЯ"""
2023,831304.0,-5614.0,761.0,-4853.0,0266027709,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""НОВАЯ УРАЛЬСКАЯ КОМПАНИЯ"""
2022,1245412.0,18488.0,223.0,18711.0,0266027709,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""НОВАЯ УРАЛЬСКАЯ КОМПАНИЯ"""
2021,3564400.0,14870.0,4822.0,19692.0,0266027709,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""НОВАЯ УРАЛЬСКАЯ КОМПАНИЯ"""
2025,,,,,7802722839,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СПОРТФЬЮЧЕР"""
2024,0.0,0.0,0.0,0.0,7802722839,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СПОРТФЬЮЧЕР"""
2023,59181.0,-7445.0,2640.0,-4805.0,7802722839,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СПОРТФЬЮЧЕР"""
2022,153689.0,1235.0,1632.0,2867.0,7802722839,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СПОРТФЬЮЧЕР"""
2021,109907.0,1143.0,435.0,1578.0,7802722839,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СПОРТФЬЮЧЕР"""
2025,861329.0,1441.0,9016.0,10457.0,6670390653,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КОНТУР 2012"""
2024,1474497.0,3343.0,550.0,3893.0,6670390653,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КОНТУР 2012"""
2023,1461430.0,7201.0,0.0,7201.0,6670390653,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КОНТУР 2012"""
2022,1377464.0,6532.0,119.0,6651.0,6670390653,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КОНТУР 2012"""
2021,1550465.0,8475.0,774.0,9249.0,6670390653,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КОНТУР 2012"""
2025,5475685.0,67205.0,83795.0,151000.0,4027136246,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СТРОИТЕЛЬНЫЙ АЛЬЯНС"""
2024,4057067.0,106545.0,99166.0,205711.0,4027136246,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СТРОИТЕЛЬНЫЙ АЛЬЯНС"""
2023,1263663.0,62555.0,24888.0,87443.0,4027136246,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СТРОИТЕЛЬНЫЙ АЛЬЯНС"""
2022,864140.0,30286.0,9653.0,39939.0,4027136246,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СТРОИТЕЛЬНЫЙ АЛЬЯНС"""
2021,405427.0,12766.0,4377.0,17143.0,4027136246,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СТРОИТЕЛЬНЫЙ АЛЬЯНС"""
2025,0.0,-379.0,,-379.0,7453302475,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ СТРОИТЕЛЬНАЯ КОМПАНИЯ ""СИСТЕМА"""
2024,,-648.0,,-648.0,7453302475,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ СТРОИТЕЛЬНАЯ КОМПАНИЯ ""СИСТЕМА"""
2023,,-2259.0,0.0,-2259.0,7453302475,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ СТРОИТЕЛЬНАЯ КОМПАНИЯ ""СИСТЕМА"""
2022,0.0,-6915.0,1418.0,-5497.0,7453302475,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ СТРОИТЕЛЬНАЯ КОМПАНИЯ ""СИСТЕМА"""
2021,17247.0,-38925.0,1112.0,-37813.0,7453302475,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ СТРОИТЕЛЬНАЯ КОМПАНИЯ ""СИСТЕМА"""
2025,233647.0,-29570.0,19767.0,-9803.0,4633004190,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""СПЕЦИАЛИЗИРОВАННЫЙ ЗАСТРОЙЩИК ЗАВОД ЖБИ-3"""
2024,328515.0,787.0,12810.0,13597.0,4633004190,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""СПЕЦИАЛИЗИРОВАННЫЙ ЗАСТРОЙЩИК ЗАВОД ЖБИ-3"""
2023,365619.0,438.0,3545.0,3983.0,4633004190,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""СПЕЦИАЛИЗИРОВАННЫЙ ЗАСТРОЙЩИК ЗАВОД ЖБИ-3"""
2022,302309.0,1553.0,0.0,1553.0,4633004190,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""СПЕЦИАЛИЗИРОВАННЫЙ ЗАСТРОЙЩИК ЗАВОД ЖБИ-3"""
2021,463927.0,12372.0,391.0,12763.0,4633004190,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""СПЕЦИАЛИЗИРОВАННЫЙ ЗАСТРОЙЩИК ЗАВОД ЖБИ-3"""
2025,654.0,10319.0,0.0,10319.0,5408240992,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АВС-М"""
2024,738.0,17187.0,457.0,17644.0,5408240992,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АВС-М"""
2023,49286.0,1513.0,455.0,1968.0,5408240992,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АВС-М"""
2022,190667.0,13439.0,6044.0,19483.0,5408240992,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АВС-М"""
2021,3502.0,169.0,3632.0,3801.0,5408240992,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АВС-М"""
2025,64505.0,0.0,,0.0,1701039720,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЮНОСТЬ"""
2024,362616.0,1.0,,1.0,1701039720,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЮНОСТЬ"""
2023,280700.0,15314.0,,15314.0,1701039720,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЮНОСТЬ"""
2022,122172.0,11899.0,,11899.0,1701039720,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЮНОСТЬ"""
2021,74921.0,1084.0,,1084.0,1701039720,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЮНОСТЬ"""
2025,342674.0,21904.0,2125.0,24029.0,0266028614,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""САЛАВАТПОЛИМИКС"""
2024,377080.0,6352.0,815.0,7167.0,0266028614,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""САЛАВАТПОЛИМИКС"""
2023,365158.0,2190.0,897.0,3087.0,0266028614,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""САЛАВАТПОЛИМИКС"""
2022,417011.0,9285.0,393.0,9678.0,0266028614,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""САЛАВАТПОЛИМИКС"""
2021,185352.0,9651.0,390.0,10041.0,0266028614,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""САЛАВАТПОЛИМИКС"""
2025,434289.0,33822.0,9693.0,43515.0,6164320770,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АКВАПРОМСТРОЙ"""
2024,249650.0,14294.0,9252.0,23546.0,6164320770,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АКВАПРОМСТРОЙ"""
2023,302270.0,2550.0,7767.0,10317.0,6164320770,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АКВАПРОМСТРОЙ"""
2022,150574.0,1677.0,2994.0,4671.0,6164320770,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АКВАПРОМСТРОЙ"""
2021,148151.0,2583.0,6993.0,9576.0,6164320770,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АКВАПРОМСТРОЙ"""
2025,115852.0,-961.0,,-961.0,7728192558,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЭТРИКА"""
2024,133171.0,11004.0,,11004.0,7728192558,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЭТРИКА"""
2023,101559.0,3713.0,,3713.0,7728192558,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЭТРИКА"""
2022,69111.0,-358.0,,-358.0,7728192558,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЭТРИКА"""
2021,85318.0,3092.0,,3092.0,7728192558,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЭТРИКА"""
2025,4757.0,3265.0,,3265.0,2129057159,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЧЕСТРСТРОЙ-2"""
2024,157341.0,18345.0,0.0,18345.0,2129057159,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЧЕСТРСТРОЙ-2"""
2023,235714.0,89722.0,0.0,89722.0,2129057159,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЧЕСТРСТРОЙ-2"""
2022,167722.0,6867.0,,6867.0,2129057159,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЧЕСТРСТРОЙ-2"""
2021,173301.0,61077.0,,61077.0,2129057159,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЧЕСТРСТРОЙ-2"""
2024,0.0,737.0,,737.0,5906072613,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЛИДЕРСТРОЙ"""
2023,489.0,-64.0,0.0,-64.0,5906072613,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЛИДЕРСТРОЙ"""
2022,6756.0,19.0,365.0,384.0,5906072613,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЛИДЕРСТРОЙ"""
2021,6838.0,838.0,79.0,917.0,5906072613,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЛИДЕРСТРОЙ"""
2023,232152.0,-67111.0,0.0,-67111.0,3123220435,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""БЕЛГОРОДСКАЯ СТРОИТЕЛЬНАЯ КОМПАНИЯ"""
2022,229783.0,15837.0,42.0,15879.0,3123220435,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""БЕЛГОРОДСКАЯ СТРОИТЕЛЬНАЯ КОМПАНИЯ"""
2021,259830.0,39710.0,868.0,40578.0,3123220435,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""БЕЛГОРОДСКАЯ СТРОИТЕЛЬНАЯ КОМПАНИЯ"""
2025,1613868.0,5261.0,8028.0,13289.0,0276156728,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""РЕФСТРОЙПРОЕКТ"""
2024,1582868.0,5124.0,0.0,5124.0,0276156728,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""РЕФСТРОЙПРОЕКТ"""
2023,1918028.0,11382.0,1050.0,12432.0,0276156728,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""РЕФСТРОЙПРОЕКТ"""
2022,1214587.0,558.0,2466.0,3024.0,0276156728,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""РЕФСТРОЙПРОЕКТ"""
2021,511329.0,5538.0,867.0,6405.0,0276156728,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""РЕФСТРОЙПРОЕКТ"""
2025,130034.0,13378.0,,13378.0,2367004229,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЮГ МОНТАЖ"""
2024,375401.0,12691.0,,12691.0,2367004229,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЮГ МОНТАЖ"""
2023,129514.0,7563.0,,7563.0,2367004229,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЮГ МОНТАЖ"""
2022,12773.0,922.0,,922.0,2367004229,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЮГ МОНТАЖ"""
2021,62677.0,2988.0,,2988.0,2367004229,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЮГ МОНТАЖ"""
2025,46850.0,724.0,194.0,918.0,5638058829,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ВИСТА"""
2024,28075.0,346.0,39.0,385.0,5638058829,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ВИСТА"""
2023,41254.0,969.0,61.0,1030.0,5638058829,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ВИСТА"""
2022,15581.0,576.0,,576.0,5638058829,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ВИСТА"""
